candidate_id,centroid_z_mm,centroid_y_mm,centroid_x_mm,equiv_diameter_mm,voxel_count,mean_hu,max_hu,sphericity,slice_range
57,265.85,175.0,189.83,4.58,65,-342.2,-146.0,0.402,131-135
58,673.84,165.23,124.03,4.49,61,-286.5,-12.0,0.563,335-339
59,255.27,104.05,228.99,4.46,60,-281.5,99.0,0.36,120-134
60,490.75,159.32,193.94,4.44,59,-326.9,-143.0,0.414,242-248
61,224.0,181.06,236.24,4.39,57,-352.7,-266.0,0.543,112-112
62,416.7,111.53,62.09,4.39,57,-240.2,52.0,0.761,207-210
63,680.18,180.45,207.47,4.39,57,-272.1,-8.0,0.429,338-341
64,462.79,155.38,115.65,4.36,56,-288.5,51.0,0.434,227-236
65,285.85,106.3,60.48,4.34,55,-160.3,192.0,0.453,136-149
66,268.0,146.54,104.91,4.31,54,-346.1,-204.0,0.561,134-134
67,371.67,150.49,239.86,4.31,54,-261.7,9.0,0.466,181-191
68,470.79,177.43,112.78,4.28,53,-199.9,284.0,0.431,232-238
69,686.04,180.71,106.79,4.28,53,-291.4,-23.0,0.441,342-344
70,423.8,114.18,70.49,4.23,51,-252.4,-39.0,0.812,211-213
71,518.86,218.19,192.08,4.23,51,-211.2,256.0,0.454,252-268
72,244.04,195.65,195.5,4.2,50,-250.9,-11.0,0.472,116-125
73,449.28,179.9,196.76,4.2,50,-177.7,135.0,0.448,222-228
74,448.6,132.7,85.41,4.2,50,-292.2,-70.0,0.465,223-227
75,260.16,99.33,134.82,4.17,49,-331.0,-198.0,0.379,128-135
76,286.86,190.02,198.88,4.17,49,-308.6,-82.0,0.394,138-148
77,324.9,148.22,233.67,4.17,49,-240.1,26.0,0.449,155-169
78,559.39,224.26,223.23,4.17,49,-223.5,79.0,0.459,274-285
79,688.9,184.97,190.07,4.17,49,-224.1,237.0,0.523,343-346
80,514.75,152.67,187.37,4.14,48,-284.3,39.0,0.383,253-262
81,539.58,175.74,132.55,4.14,48,-220.7,67.0,0.485,267-272
82,608.79,150.84,191.77,4.14,48,-275.2,-72.0,0.469,300-308
83,384.09,165.29,125.8,4.12,47,-211.4,117.0,0.408,183-198
84,374.74,187.29,130.95,4.09,46,-247.6,-12.0,0.442,183-192
85,481.78,111.47,96.53,4.09,46,-272.9,34.0,0.468,239-247
86,607.3,139.47,88.45,4.09,46,-359.7,-323.0,0.543,303-304
87,228.58,157.74,222.86,4.06,45,-360.2,-260.0,0.539,114-115
88,106.77,136.04,262.47,4.03,44,-164.6,125.0,0.493,50-55
89,262.0,134.41,107.48,4.03,44,-358.1,-318.0,0.575,131-131
90,317.4,139.24,81.21,3.99,43,-275.9,12.0,0.456,153-163
91,226.0,172.2,235.26,3.96,42,-318.0,-176.0,0.674,113-113
92,417.57,204.55,193.69,3.96,42,-347.0,-204.0,0.384,200-215
93,508.29,208.2,189.9,3.96,42,-245.2,43.0,0.526,250-260
94,114.05,126.3,236.18,3.93,41,-275.4,30.0,0.485,55-58
95,250.73,197.11,220.51,3.93,41,-277.1,48.0,0.473,123-128
96,268.0,181.02,76.95,3.93,41,-338.7,-159.0,0.553,134-134
97,308.49,155.69,26.79,3.93,41,-354.5,-321.0,0.406,149-159
98,673.71,186.88,185.94,3.93,41,-245.1,97.0,0.523,335-338
99,266.0,188.18,79.86,3.9,40,-351.9,-278.0,0.551,133-133
100,350.7,201.29,273.36,3.9,40,-261.0,-49.0,0.479,171-178
101,270.0,154.34,110.79,3.87,39,-363.2,-301.0,0.547,135-135
102,414.46,208.45,268.44,3.87,39,-283.7,28.0,0.487,203-210
103,220.0,203.16,237.59,3.83,38,-346.8,-201.0,0.628,110-110
104,322.0,168.08,63.09,3.83,38,-254.6,83.0,0.578,159-163
105,333.89,140.12,42.94,3.83,38,-236.9,-3.0,0.509,163-171
106,350.89,100.18,118.02,3.83,38,-256.9,20.0,0.491,171-180
107,238.81,175.03,183.55,3.8,37,-339.9,-162.0,0.387,117-122
108,302.81,223.84,249.56,3.8,37,-262.8,3.0,0.468,148-155
109,428.54,168.46,105.24,3.8,37,-246.2,14.0,0.595,212-218
110,211.22,110.04,65.09,3.77,36,-273.9,-115.0,0.497,102-109
111,495.94,200.12,195.27,3.77,36,-343.9,-49.0,0.417,240-255
112,559.22,229.3,248.54,3.77,36,-274.1,-108.0,0.448,274-284
113,192.23,103.8,67.66,3.73,35,-231.7,-95.0,0.547,94-98
114,222.57,111.58,238.95,3.73,35,-239.6,-27.0,0.479,108-114
115,695.6,186.13,122.4,3.73,35,-302.6,-56.0,0.502,347-349
116,263.82,174.38,197.43,3.69,34,-324.2,-182.0,0.534,129-133
117,332.59,164.67,126.42,3.69,34,-234.5,41.0,0.394,159-173
118,419.41,164.54,110.54,3.69,34,-237.1,156.0,0.539,208-212
119,222.0,197.98,236.47,3.66,33,-362.2,-324.0,0.581,111-111
120,228.0,168.22,227.0,3.66,33,-357.8,-297.0,0.586,114-114
121,287.7,193.22,276.93,3.66,33,-247.0,-2.0,0.561,140-147
122,618.3,212.16,94.91,3.66,33,-327.0,-151.0,0.535,306-312
123,683.7,201.81,203.19,3.66,33,-323.6,-85.0,0.518,340-343
124,205.19,96.34,71.88,3.62,32,-274.8,-102.0,0.521,100-105
125,252.81,234.75,207.42,3.62,32,-311.8,-178.0,0.527,125-129
126,266.0,142.58,100.33,3.62,32,-359.8,-320.0,0.734,133-133
127,644.88,155.41,204.75,3.62,32,-292.0,-91.0,0.49,321-324
128,257.48,155.78,220.18,3.58,31,-322.5,-177.0,0.53,128-130
129,281.55,106.72,70.22,3.58,31,-207.5,34.0,0.516,136-145
130,363.03,140.02,222.05,3.58,31,-256.6,-7.0,0.59,180-183
131,677.61,207.13,106.44,3.58,31,-320.0,-71.0,0.551,338-340
132,64.0,134.33,256.22,3.54,30,-360.7,-308.0,0.715,32-32
133,206.0,209.39,275.18,3.54,30,-282.3,-83.0,0.511,98-106
134,214.07,219.52,218.05,3.54,30,-313.6,-117.0,0.551,106-111
135,329.4,180.62,147.45,3.54,30,-223.5,-43.0,0.459,158-171
136,197.66,95.52,83.14,3.5,29,-318.7,-106.0,0.66,97-99
137,218.21,133.07,243.29,3.5,29,-257.4,-20.0,0.524,107-112
138,252.97,176.56,269.41,3.5,29,-233.4,6.0,0.53,122-130
